Id,Label,timeset,authority,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Hub,modularity_class,clustering
MarSolRivas,MarSolRivas,,true,0,28,28,0,40,40,1,1,1,0,0,22,0
MisterFound,MisterFound,,false,1,0,1,6,0,6,0,0,0,0,0,22,0
Narcissou1,Narcissou1,,false,2,0,2,8,0,8,0,0,0,0,0,4,0
ValyaIncognita,ValyaIncognita,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
Johnchildish,Johnchildish,,false,1,0,1,2,0,2,0,0,0,0,0,22,0
coufinpata,coufinpata,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
BdLameF,BdLameF,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
CrazyinRussia,CrazyinRussia,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
genevievinteuil,genevievinteuil,,false,1,0,1,2,0,2,0,0,0,0,0,22,0
Penseamoislurpp,Penseamoislurpp,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
SatournePasRond,SatournePasRond,,false,2,0,2,3,0,3,0,0,0,0,0,22,0
JeanPaulepanda,JeanPaulepanda,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
SarahDay93,SarahDay93,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
JamaisTresLoin2,JamaisTresLoin2,,false,2,0,2,3,0,3,0,0,0,0,0,22,0
CapitaineFlam4,CapitaineFlam4,,false,1,0,1,2,0,2,0,0,0,0,0,22,0
Sham_Rock71,Sham_Rock71,,false,2,0,2,2,0,2,0,0,0,0,0,22,0
Nini_MacBright,Nini_MacBright,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
vec_plaisir,vec_plaisir,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
BlackMagicZurgo,BlackMagicZurgo,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
__Asfa__,__Asfa__,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
ClaudeNiclas,ClaudeNiclas,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
MonsieurOmega,MonsieurOmega,,false,1,0,1,2,0,2,0,0,0,0,0,22,0
luna06862980,luna06862980,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
GalakticPrawn,GalakticPrawn,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
DieuMichet,DieuMichet,,false,2,0,2,2,0,2,0,0,0,0,0,22,0
thunder_rollin,thunder_rollin,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
WilSon85972287,WilSon85972287,,false,2,0,2,2,0,2,0,0,0,0,0,4,0
Compte2Midi6,Compte2Midi6,,false,1,0,1,1,0,1,0,0,0,0,0,22,0
LaurenceRetA,LaurenceRetA,,false,2,0,2,2,0,2,0,0,0,0,0,3,0
Ignatub,Ignatub,,true,0,30,30,0,44,44,1,1,1,0,0,1,0
LambdaPaul,LambdaPaul,,false,11,0,11,33,0,33,0,0,0,0,0,1,0.027273
cathpn,cathpn,,false,2,0,2,4,0,4,0,0,0,0,0,1,0
Froggydelight,Froggydelight,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
GDeleur,GDeleur,,false,5,0,5,7,0,7,0,0,0,0,0,1,0
AdrienFranque,AdrienFranque,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
SBO_mag,SBO_mag,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
Lirographe,Lirographe,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
edgarmorinparis,edgarmorinparis,,false,7,0,7,10,0,10,0,0,0,0,0,14,0
xtolibaud,xtolibaud,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
TrainTheatre,TrainTheatre,,false,1,0,1,6,0,6,0,0,0,0,0,1,0
culturechallans,culturechallans,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
dfweb75,dfweb75,,false,2,0,2,2,0,2,0,0,0,0,0,1,0
trianontransat,trianontransat,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
Bouchedair,Bouchedair,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
CaLaugier,CaLaugier,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
Relikto,Relikto,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
MarcelFaure42,MarcelFaure42,,false,4,0,4,7,0,7,0,0,0,0,0,14,0.083333
emmanuelle_81,emmanuelle_81,,false,4,0,4,4,0,4,0,0,0,0,0,1,0.083333
Inafr_officiel,Inafr_officiel,,false,7,0,7,9,0,9,0,0,0,0,0,14,0.02381
MotsSurannes,MotsSurannes,,false,2,0,2,2,0,2,0,0,0,0,0,1,0
JDBeauvallet,JDBeauvallet,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
EmmanuelLauren2,EmmanuelLauren2,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
veronirique,veronirique,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
NESLESmusique,NESLESmusique,,false,1,0,1,3,0,3,0,0,0,0,0,1,0
sofiabolt,sofiabolt,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
ForumLeoFerre,ForumLeoFerre,,false,1,0,1,1,0,1,0,0,0,0,0,1,0
thbaumg,thbaumg,,false,2,0,2,2,0,2,0,0,0,0,0,1,0
Km012343210,Km012343210,,false,1,0,1,2,0,2,0,0,0,0,0,1,0
