Id	Authority
MarSolRivas	True
MisterFound	False
Narcissou1	False
ValyaIncognita	False
Johnchildish	False
coufinpata	False
BdLameF	False
CrazyinRussia	False
genevievinteuil	False
Penseamoislurpp	False
SatournePasRond	False
JeanPaulepanda	False
SarahDay93	False
JamaisTresLoin2	False
CapitaineFlam4	False
Sham_Rock71	False
Nini_MacBright	False
vec_plaisir	False
BlackMagicZurgo	False
__Asfa__	False
ClaudeNiclas	False
MonsieurOmega	False
luna06862980	False
GalakticPrawn	False
DieuMichet	False
thunder_rollin	False
WilSon85972287	False
Compte2Midi6	False
LaurenceRetA	False
Ignatub	True
LambdaPaul	False
cathpn	False
Froggydelight	False
GDeleur	False
AdrienFranque	False
SBO_mag	False
Lirographe	False
edgarmorinparis	False
xtolibaud	False
TrainTheatre	False
culturechallans	False
dfweb75	False
trianontransat	False
Bouchedair	False
CaLaugier	False
Relikto	False
MarcelFaure42	False
emmanuelle_81	False
Inafr_officiel	False
MotsSurannes	False
JDBeauvallet	False
EmmanuelLauren2	False
veronirique	False
NESLESmusique	False
sofiabolt	False
ForumLeoFerre	False
thbaumg	False
Km012343210	False
Apres_lete	False
IArthurPym	False
R2NChateau	True
theodoraaigina	False
photo5065	False
A__S__H___	False
MahaSlaoui	False
vinodkumarmeht2	False
gg8BfGUm0O02Hb0	False
xokotonto	False
AgrapidiL	False
pretty_just_bot	False
sharonspictures	False
yasa1k	False
goodenough_fu	False
RabalFrancesco	False
Evgely	False
Brad_D69	False
Jendrekan	False
Nata27Best	False
douxmiel2	False
Sasta24	False
Aleksan52094351	False
LifeIsBeauty0	False
ArianeGermer	False
_photo_BW	False
JuanEduardo6591	False
Petit__Rien	False
DeannGoss	False
kamalavathe	False
nauty_krish	False
KAMUI_ALONE	False
Angels_fall5	False
_fz6log	False
baacktheblue	False
HoganSOG	False
lvstkvra	False
mkolean3	False
teatrolafenice	False
Clingy_Cutie	False
SoulAnni	False
sanfte_worte	False
fiorellaschaus	False
CasaLettori	False
cxx9378	False
Gianarnaldo79	False
craigchek	False
DKougk	False
konstantina1190	False
PetkovicDusko1	False
Futura_Noir	False
PourquoiPasToi	False
AnnaPatt2	False
LevoyageduLys	False
efal_cat	False
unguideaparis	False
tapsakooo	False
MindFly_67	False
PMallagray	False
photographer678	False
OHYoshikiRisa	False
Unique_Abstract	False
Alex00762690	False
Hana_Lopez_	False
ParisAMDParis	False
aloisiaanja	False
KLovesNature	False
KoleanMike	False
adilando	False
AlbertoJor18	False
RocoRomich	False
xavierdaniel999	False
CristinPereyra	False
miguela92370585	False
_Scirocco	False
Snc_L4H	False
Demidoff_315	False
passionsdelisah	False
taniaa579	False
yianniseinstein	False
Bighead344	False
MAdeelIq	False
TLeoni311	False
baykaler	False
Silviadomi22G	False
9HUrne5nPVQ7p5h	False
Ostravadnes	False
bernard29440	False
SergioA60798547	False
sweetestvix	False
MikiMiyazaki13	False
McristyH21	False
spiros_komn	False
nataliepastor7	False
PIPIENPierre	False
carlitapolka	False
Zanabe13	False
UrbanGi64100750	False
LourdesXolvi	False
DonnaMarieWil18	False
JessePrize6	False
Sweet4Sweetness	False
silenciiii	False
Jhziqita	False
Annie_W_M	False
davess01	False
SbitnevaValay	False
Pavlo_UA	False
Cris61921593	False
PapamihailMaria	False
Barbara_levante	False
MiguelCalabria3	False
ageyp	False
memva	False
Matilde99101783	False
PrinceMots14	True
Anne5954	False
LaetitiaWilfert	False
AndreeBaril	False
ChambreRouge922	False
MauxPourMots	False
Lapanthere59	False
OGaignerot	False
K_Prisky	False
OPruntyPoetess	False
DanniSr8	False
MartenBjorkgren	False
laetirature	True
navanan3	False
BelPhilippe4	True
HenriSaladin	False
SyllViie10	False
berclazm	False
Trgmary	False
murmures7	True
Anna14Mor	False
penelopetweete	True
PPasqualinette	False
BleueEvelyne	True
AnnaBella_91_	False
LaureD33	False
lisadagliocchib	False
a_saba78	False
letittwitt	False
nightcall_66	True
laforgesonia	False
EricDubois	True
RTLFrance	False
f_lebel	False
fadouce	False
phparrot	True
ericfotto	False
pierrelescure	False
DimitriHommel	False
srongier	False
maisondagoit	False
Limportant_fr	False
jajacobbi	False
guycarlier2013	False
elaugerias	False
TellecheaW	False
regisjauffret	False
FC_actu	False
bouclierchrist1	False
G0rille	False
Gilsoub	False
EricNaulleau	False
BeschlossDC	False
AdeleVanReeth	False
Mediapart	False
LesEchos	False
JFGuyot	False
TelegrammeAuray	False
SchnockRevue	False
LeHuffPost	False
urlivernenghi	False
afpfr	False
BibliObs	False
vincentmonad	False
schmidtiglesias	False
tbarnaud	False
philippelabro	False
pierrehaski	False
chaussisfamily	False
HelbertFrederic	False
libe	False
sudouest	False
TalhouarnT	False
ldero	False
ngruszkiewicz	False
ClementBenech	True
bernardpivot1	False
CloChapuis	False
dhasselmann	False
josettehersent	True
depalacioirene	False
angelepaoli	False
franceculture	False
mxcote	False
JAStokesNJ	False
piquremoraline	False
Camel19759961	False
franceinfo	False
gwenenuts	False
Brevesdepresse	False
CheckNewsfr	False
Le_Figaro	False
acrimed_info	False
ChanPerco	False
LigueAuteursPro	False
carnets_web	False
claude_serillon	False
LucienSuel	True
Europe1	False
lilyinthewind10	False
ElaineAudet	False
ClCharpentier	False
BFMTV	False
Philinte4	True
1_Paulo_1	False
mornayl	False
foise_cosson	False
GarconsOfficiel	False
rglucks1	False
joparis7	False
encieler	False
mille_eclats	False
nicolasnibat	False
IrisBugatti1	False
CcPignat	False
palais_au	False
alicecoffin	False
IrenaBuzarewicz	False
ericmarty55	False
brunojp200	False
ANGECO7	False
ManzoniGabriela	False
artistgreco	False
Daniel_Red_Eire	False
OrloffTania	False
BertrandUsclat	False
ESM15683727	False
Equipe1erDegre	False
tristanmf	False
pchevilley	False
RaouxNathalie	False
janesweet_sweet	False
hstrag	False
Ksenija_Ksy	False
liminaire	True
larwoolf	False
grardcohen	False
_Carine_C	False
marinabontee4	False
AttendantNadeau	False
Cioranito	False
laPoezicdeVal	False
rabardeljf	False
BouDerLo	False
dbourrion	False
le_gorafi	False
AtimUlysse	False
seff_nathalie	False
an_conda	False
philippe_rouyer	False
Philipsmithy	False
MiawallaceB52	False
LaurenceFritsch	True
Projektile3	False
thomasvinau	False
ONU_fr	False
MondedesLivres	False
Passouline	False
amabanckou	False
ipagination	False
openculture	False
dossierfamilial	False
szabadnap	False
LuchiniFan	False
VWoolfBlog	False
JeanAbbiateci	False
CaenMemorial	False
OlivierQuelier	False
encephalogramme	False
joachimsene	False
JeanneCherhal	False
grandcorpsmalad	False
PvVavasseur	False
Centquarante	False
Sylvain_Pierre	True
mhajdenberg	False
sebastianjroche	False
AsmaMehnana	False
RCapucon	False
AffejeeH	False
30millionsdamis	False
Mediavenir	False
Moukmouk11	False
Bis_repetaJack	False
damien_leblanc	False
MFB44	False
Francois_Ruffin	False
VorAvel	False
CRE_SciencesPo	False
Mp97440	False
pat_laffreuse	False
davduf	False
corpsecrits	True
Stalec_	False
Invaderay	False
franceinter	False
FredSochard	False
duval27110	False
jpmignard	False
Portes_Thomas	False
phil_lombard	False
Poulin2012	False
chantal63	False
MartinFrdric7	False
ConconLouison	False
fondril	False
sirius1936	False
azocarjosephine	False
renald_prevost	False
L_M_Vin	False
BenMonville	False
AlexTaylorNews	False
MonseurM	False
Chouny111	False
mollusque75	False
francoisedegois	False
20320Vero	False
KDJ_SKK	False
S_francois1	False
lerman_alix	True
Alabandine_	False
CrepeyLaurent	False
AniSWISSarts	False
RtEnPassant	False
laudemarsss	False
casirni	False
SamTheDrecker	False
maisonpoesie1	False
fraveris	False
MuseeLouvre	False
oct1064	False
Dunkelbunt9	False
holdengraber	False
_mrs_saeki_	False
Jopolkadot	False
GrimardC	False
MaraRiv2	False
o_elixir	False
_Natalene_	False
MenschOhneMusil	False
vigourtcat	False
csermet2	False
independent1313	False
sbataillon	True
AnneMortier1	False
DoraLibellule	False
Titplus1	False
mvoinchet	False
ATrapenard	False
bertrandhadet	False
lemondefr	False
Marchelhibre	True
anton1955	True
FranceRugby	False
paroles_la	False
Brindille_	False
MarilynSpirit	False
mhlester	False
sloppjockey	False
coulmont	False
cellojuliahagen	False
Bettyxx84	False
wonderofscience	False
Antho_Repartie	False
coherence_e	False
ukiyoeota	False
AllBlacks	False
marcocarbocci	False
IrigoyenWilliam	False
SoMabrouk	False
artistgklimt	False
universal_sci	False
HWarlow	False
DinaBail	True
plantu	False
silentmoviegifs	False
MarilynDiary	False
DalaiLama	False
PetitTheatreJMP	False
NicMatyjasik	False
distractedfilm	False
PatrickLeHyaric	False
florencemehrez	False
carole_laure	False
latestinspace	False
NassiraELM	False
RikaInami8	False
femeninna	False
larrouturou	False
AsiyaMiya	False
BlackstarCorne1	False
igorpianist	False
restot50	False
FGalthie	False
ParisPasRose	False
LoicDombreval	False
ryunohane6_6	False
ET_Exists	False
ARTEInfo	False
AngoJehan	False
vvakatawa	False
LeoAuteur	False
AnaMariaOteroO3	False
AKALouisPoete	True
archillect	False
SabrinaLger1	True
ma_4lov	False
Rosedes24390647	False
VincentAvanzi	False
anotherblack4	False
son_bilboquet	True
Pangar_studio	False
ArtiShowDeNoel	False
Saraghina69	False
nouv_tentations	False
EbibiGlass	False
JPRhaiku	True
montalbanyi	True
MonLapinRoseX	False
gblardone	False
SamaelOrmesson	False
QuatreSoupirs	False
Faustruy	True
Gui_Billy	False
decirconstance	False
Bruno_Borat67	False
BrunFlorian3	False
noel_talipo	True
CHTIMIDE1	True
ThomasSpok	False
Darkpalmor	True
sweeteucalyptus	False
lepolymorphe	False
luciol1	False
DParoles	False
souriredefleur	False
gerantupal	False
hervesors	False
Nuittoile3	False
mot_apres_mot	False
PoesieActualite	False
Heriss28	False
NICOBILD	False
BornrtE	False
CudilleroPlume	True
maimepasviril	False
BadoglioMy	False
Eptesicus7	False
danylatour06	True
Caprice82965452	False
PantunSayangAFP	False
bab69_bab	False
chamouxlaurent	False
LdOptimistes	False
LouMiss_LM	False
soeurs_revue	False
FrsMarcotte	False
LePontCreatif	True
jipi_II	False
dkp_copywriting	True
editodor	False
LaurentAnONyme	False
ProfesseurBang	False
SugarMonkey0	False
jeansevillia	False
Clemelois	False
mimignardise	False
MateuilB	False
olivier_garcia	False
ThomasSotto	False
brunophg	False
peaudlapin	False
Rod___Serling	False
Palamede_Litote	False
FreshPrincessss	False
justdefunes	False
_n0name_____	False
SandrineAime16	False
jyleo_62	False
belganitel	False
MicheleLaroque	False
DidierRoustan	False
Thilium1	False
Coeur_Turquoise	True
raphaeldetrie	False
assiselafileuse	False
christi99830943	False
raj65025523	False
colmontserrat	False
ConteurDeNotes	True
_Mme_E	False
Verbum66	False
KindWildness	False
OBrother_op	False
AlexdeReps	False
ClerkofOxford	False
fred_manfrin	False
una_voce_france	False
neumz_now	False
seivollLachens	False
GregorianSwears	False
RexChapman	False
Sydogasy	True
baantoucom	False
CaroleGevaudan	False
jane72740508	False
Natresosoleil	False
AmilkarAlexand3	False
AuxComtesse	False
paschamo	False
Ann_Aurore	False
don_cigarro	False
yan_sall	False
Joel75926443	True
Paulo18000	False
jaylonewolf577	False
CarlaSaFe	False
Flora_Keawon	False
zoubyben	False
Dum_fat	False
Dahlia_clacla	False
SandraDulier	True
SauthierV	False
ibiza3000sa	False
JacquesMercier	True
Glade11070785	False
belkidris	True
fleur_ou	False
Marouss28776392	False
AineBelton	False
Karim69739447	False
SAVE_DAKAR	False
FatimaGaladim10	False
tarekbahaa1	False
BernardLehut	False
CyrilBauchais	False
SchuurmanFrano2	False
CalliPetri	False
estelle_lb	False
tlivres_tarts	False
DominiqueSudre	False
venise312	False
ConvertEliane	False
carlpineau	False
ngrundlinger	False
onlille	False
Fanchassain	False
fanfancoq	False
edTableRonde	False
Cadetsandrine87	False
Aupaysdesbooks	False
Arnaud_Laporte	False
myroques	False
daniele_StBois	False
