URLs;Identifies;Mode_de_decouverte;Plateformes
http://murielecamac.blogspot.com/;oui;methodologie;blogspot
https://marcelpeltier.com/;oui;methodologie;
http://24hdelanouvelle.org/2015/05/patrimoine-classe/;oui;methodologie;
http://575.tempslibres.org/;oui;methodologie;
http://575.tempslibres.org/aphp/page3.php?page=v02n1p32;oui;methodologie;
http://575.tempslibres.org/docs/v02n3ADHaikuReve.pdf;oui;methodologie;pdf
http://abadon.fr/;oui;methodologie;
http://academie23.blogspot.com/;oui;methodologie;blogspot
http://accheron-enmarges.blogspot.com/;oui;autre;blogspot
http://adamante-images-et-reves.over-blog.com/article-la-porte-58222693.html;oui;methodologie;over-blog
http://afdj.over-blog.com/;oui;methodologie;over-blog
http://afdj.over-blog.com/article-haisha-a-deux-voix-112629564.html;oui;methodologie;over-blog
http://afdj.over-blog.com/tag/haiku%20-%20senryu%20-%20haisha/9;oui;methodologie;over-blog
http://africultures.com/natacha-andriamirado-lecriture-me-permet-de-trouver-ce-qui-me-semble-essentiel-chez-certains-etres-9577/;oui;cartoweb_JP;
http://africultures.com/paroles-et-voix-de-femmes-8432/;oui;methodologie;
http://africultures.com/vagabondages-suivi-de-bleu-8278/;oui;methodologie;
http://ahoui.eklablog.com/;oui;methodologie;eklablog
http://alain-cotten.over-blog.com/;oui;methodologie;over-blog
http://alainfreudiger.blogspot.com/;oui;cartoweb_JP;blogspot
http://alainhaye.over-blog.com/;oui;methodologie;over-blog
http://alainmorinais.blogspot.com/;oui;methodologie;blogspot
http://al-denton.blogspot.com/;oui;methodologie;blogspot
http://allerauxessentiels.over-blog.com/2016/12/anne-marguerite-milleliri-une-source-fleurit.html;oui;methodologie;over-blog
http://allerauxessentiels.over-blog.com/article-camille-119557460.html;oui;methodologie;over-blog
http://allerauxessentiels.over-blog.com/article-nus-hier-encore-deux-poemes-de-sophie-lagal-115354844.html;oui;methodologie;over-blog
http://almasoror.hautetfort.com/;oui;methodologie;hautetfort
http://amalgamdehaiku.blogspot.ro/;oui;methodologie;blogspot
http://amtealty.e-monsite.com/pages/tout-sur-jill-bill-defis-poemes-haikus/mon-prenom-par-jill-bill.html;oui;methodologie;e-monsite
http://analogos.org/;oui;repertoire_des_ecritures_num;
http://ancrages.ca/;oui;methodologie;
http://ancrages.ca/edition/no-15-chemins-de-vers-poesie/marianne-desroziers-carnet-rouge/;oui;methodologie;
http://andree-wizem-imagerie.eklablog.com/;oui;methodologie;eklablog
http://andree-wizem-poezizanie.eklablog.com/;oui;methodologie;eklablog
http://andrelbn.wordpress.com/;oui;repertoire_des_ecritures_num;wordpress
http://annajouy.over-blog.fr/;oui;autre;over-blog
http://annesavelli.fr/;oui;autre;
http://annscott.fr/;oui;methodologie;
http://anoir-eblanc.blogspot.com/;oui;methodologie;blogspot
http://anothine-l.blogg.org/;oui;methodologie;blogg
http://anthosuballix.canalblog.com/;oui;methodologie;canalblog
http://anthropia.blogg.org/;oui;autre;blogg
http://antoineboute.blogspot.com/;oui;methodologie;blogspot
http://antoinebrea.blogspot.com/;oui;autre;blogspot
http://apeineperdue.blogspot.com/;oui;methodologie;blogspot
http://�peineperdue.fr/;oui;autre;
http://aplacewhereyoufeelsafe.com/gares/;oui;repertoire_des_ecritures_num;
http://aragon.blogs.sudouest.fr;oui;autre;
http://archet.net/;oui;repertoire_des_ecritures_num;
http://ardentpays12.over-blog.com/;oui;autre;over-blog
http://ardentpays12.over-blog.com/2016/09/christophe-jubien-poemes-inedits.html;oui;methodologie;over-blog
http://ardentpays12.over-blog.com/2017/02/guy-allix-poemes-inedits-et-autres-textes.html;oui;methodologie;over-blog
http://arielle.eklablog.com/;oui;methodologie;eklablog
http://armand.le.poete.free.fr/;oui;autre;
http://armand.le.poete.free.fr/copains_copines_poetes.html;oui;methodologie;
http://association-francophone-haibun.com/;oui;methodologie;
http://association-francophone-haibun.com/wp-content/uploads/2019/03/ECHO-30_NOV-2019_V2.pdf;oui;methodologie;pdf
http://association-francophone-haibun.com/wp-content/uploads/2019/05/ECHO-28_MAI-2019.pdf;oui;methodologie;pdf
http://association-francophone-haibun.com/wp-content/uploads/2019/08/ECHO-29-ao%C3%BBt-2019.pdf;oui;methodologie;pdf
http://atelierdechoupie.canalblog.com/;oui;methodologie;canalblog
http://audreygourjon.blogspot.com/;oui;methodologie;blogspot
http://audreygourjon.blogspot.fr/;oui;methodologie;blogspot
http://aufildelavie.hautetfort.com/;oui;autre;hautetfort
http://auhasarddeconnivences.eklablog.com/;oui;autre;eklablog
http://autofictif.blogspot.com/;oui;methodologie;blogspot
http://auventdesmots.over-blog.com/;oui;methodologie;over-blog
http://babaluc.blogspot.com/;oui;cartoweb_JP;blogspot
http://bakurael.blogspot.com/;oui;methodologie;blogspot
http://bashotage.over-blog.com/;oui;methodologie;over-blog
http://battistelli.canalblog.com/;oui;methodologie;canalblog
http://bellaciao.org/fr/spip.php?article144892;oui;methodologie;spip
http://benoitcamus.eklablog.com/;oui;methodologie;eklablog
http://bgueit.overblog.com/2017/01/le-poeme-en-roue-libre-initie-par-andre-chenet.html;oui;methodologie;
http://billets.domec.net/post/2016/10/19/Po%C3%A8me-de-Marianne-Desroziers-pour-la-famille-Karasani;oui;methodologie;
http://biloba.over-blog.com/;oui;methodologie;over-blog
http://blancheaparis.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://blogborygmes.free.fr/blog/index.php/;oui;methodologie;
http://blogue.nt2.uqam.ca/cenestecritnullepart/;oui;repertoire_des_ecritures_num;
http://blogueconcept.blogspot.com/;oui;repertoire_des_ecritures_num;blogspot
http://bnoval.hautetfort.com/;oui;autre;hautetfort
http://bourgeonssouslaneige.over-blog.com/;oui;methodologie;over-blog
http://bricefaitdesphrases.fr/marlene-tissot-repond-au-questionnaire-du-candide/;oui;methodologie;
