Source	Target	Weight
MarSolRivas	WilliamKissYou	1
MarSolRivas	MarSolRivas	2
MarSolRivas	Johnchildish	1
MarSolRivas	2Chauvier	1
MarSolRivas	papillonfab	1
MarSolRivas	CapitaineFlam4	7
MarSolRivas	gorgone1971	1
MarSolRivas	Nini_MacBright	3
MarSolRivas	FreshPrincessss	1
MarSolRivas	MisterFound	3
MarSolRivas	Narcissou1	1
MarSolRivas	JamaisTresLoin2	4
MarSolRivas	OuaisCharly	1
MarSolRivas	JeanPaulepanda	1
MarSolRivas	SarahDay93	1
MarSolRivas	ebandita	1
MarSolRivas	luna06862980	4
MarSolRivas	Fabien_v31	1
MarSolRivas	wieselT	1
MarSolRivas	TechAmazing	1
MarSolRivas	tempsdetrajet	1
MarSolRivas	fraypel	2
MarSolRivas	Sergio7593	1
MarSolRivas	Steph_tweete	1
MarSolRivas	MonsieurOmega	1
MarSolRivas	ChatSvasty	1
MarSolRivas	ReclusElysee	1
MarSolRivas	laure_durain	1
MarSolRivas	_etoile2mer_	1
MarSolRivas	Sham_Rock71	1
MarSolRivas	burrhus12	1
MarSolRivas	Ludovic_1990	1
MarSolRivas	Compte2Midi6	1
MarSolRivas	genevievinteuil	1
MarSolRivas	_youhadonejob1	1
MarSolRivas	Tweetdujour_	1
MarSolRivas	D_P_Cock	1
Ignatub	LambdaPaul	6
Ignatub	cathpn	1
Ignatub	Froggydelight	1
Ignatub	GDeleur	2
Ignatub	AdrienFranque	1
Ignatub	SBO_mag	1
Ignatub	Lirographe	1
Ignatub	edgarmorinparis	1
Ignatub	xtolibaud	1
Ignatub	TrainTheatre	6
Ignatub	culturechallans	1
Ignatub	dfweb75	1
Ignatub	trianontransat	1
Ignatub	Bouchedair	1
Ignatub	CaLaugier	1
Ignatub	Relikto	1
Ignatub	MarcelFaure42	1
Ignatub	emmanuelle_81	1
Ignatub	Inafr_officiel	1
Ignatub	MotsSurannes	1
Ignatub	JDBeauvallet	1
Ignatub	EmmanuelLauren2	1
Ignatub	veronirique	1
Ignatub	NESLESmusique	3
Ignatub	sofiabolt	1
Ignatub	ForumLeoFerre	1
Ignatub	thbaumg	1
Ignatub	Km012343210	2
Ignatub	Apres_lete	1
Ignatub	IArthurPym	1
R2NChateau	AshleeJenna	1
R2NChateau	pepotee	2
R2NChateau	baykaler	1
R2NChateau	louise43678507	1
R2NChateau	SOMCORAZON	1
R2NChateau	SoulAnni	2
R2NChateau	Unique_Abstract	4
R2NChateau	DanniSr8	1
R2NChateau	LockettsPeter	1
R2NChateau	CommonsVirginia	1
R2NChateau	isela1716	1
R2NChateau	Darksun_always	1
R2NChateau	juani_mateo	1
R2NChateau	Nyomandian	1
R2NChateau	chelorueda	1
R2NChateau	BebuCesco	1
R2NChateau	Louminoasa	1
R2NChateau	Annie_W_M	1
R2NChateau	xavierdaniel999	2
R2NChateau	AlmaAlessandra	1
R2NChateau	Pilar66429233	1
R2NChateau	A__S__H___	1
R2NChateau	Hana_Lopez_	3
R2NChateau	Theprettiestst1	1
R2NChateau	Tina549729303	1
R2NChateau	craigchek	1
R2NChateau	silviasebille	1
R2NChateau	DeannGoss	1
R2NChateau	Olga_Zah	3
R2NChateau	Pavlo_UA	1
R2NChateau	astraybird	1
R2NChateau	ParisAMDParis	2
R2NChateau	JuanEduardo6591	3
R2NChateau	Petit__Rien	3
R2NChateau	pretty_just_bot	2
R2NChateau	OHYoshikiRisa	1
R2NChateau	photographer678	3
R2NChateau	CrazeeFrench	1
R2NChateau	photo5065	2
R2NChateau	LeBelleRagazze	3
R2NChateau	daikin_300	1
R2NChateau	TheScreamBike	1
R2NChateau	RetweeterXtreme	1
R2NChateau	Nivallia	3
R2NChateau	tapsakooo	1
R2NChateau	ebeth2430	1
R2NChateau	David88_01	1
R2NChateau	TATOY112	2
R2NChateau	GuglielminaS	1
R2NChateau	SharonEChen	1
R2NChateau	JamesStephane4	1
R2NChateau	MahaSlaoui	1
R2NChateau	silenciiii	3
R2NChateau	miocatmiomio	1
R2NChateau	VANBFREYA	2
R2NChateau	Milla_MLT	1
R2NChateau	adilando	1
R2NChateau	xokotonto	2
R2NChateau	PicPublic	1
R2NChateau	Dida_ti	1
R2NChateau	commanderwom	1
R2NChateau	gigi_dreamer	1
R2NChateau	Youneve70383674	1
R2NChateau	Ouly05404755	1
R2NChateau	lilyinthewind10	1
R2NChateau	Irina_int	1
R2NChateau	LadyLeo1976	1
R2NChateau	fresh696	1
R2NChateau	GeoGeorgios2o19	1
R2NChateau	Mellanie_29	1
R2NChateau	efal_cat	1
R2NChateau	AnnaPatt2	1
R2NChateau	lena_lenaki_len	1
R2NChateau	pegkySkevaki	1
R2NChateau	vinodkumarmeht2	1
R2NChateau	pennycoho	1
R2NChateau	Evoia40	1
R2NChateau	remedyrecipes	1
R2NChateau	brunojp200	1
R2NChateau	ROGELOBO	1
R2NChateau	luxxya	2
R2NChateau	Cathhewat123	1
R2NChateau	MaryElle_She	1
R2NChateau	CasaLettori	1
R2NChateau	GGTHOM	1
R2NChateau	ashlikesnow8	1
R2NChateau	Hottie174	2
R2NChateau	andreaj0103	1
